example_id,split,agreement_tier,dup_group
fpb:2f50bbef5c3bda17,train,66,fpb:058c37e563aa1c11
fpb:2f599abda9b16c65,train,75,fpb:2f599abda9b16c65
fpb:2f6ec4dc94de581b,train,50,fpb:2f6ec4dc94de581b
fpb:2f79907e84860c33,test,66,fpb:2f79907e84860c33
fpb:2f8e0d1c38176031,dev,66,fpb:2f8e0d1c38176031
fpb:2f8e5bff854af035,train,all,fpb:2f8e5bff854af035
fpb:2f8ef18394b052f2,test,all,fpb:2f8ef18394b052f2
fpb:2f9b739947a7bc8c,train,all,fpb:2f9b739947a7bc8c
fpb:2fa0f7ffb876d8a7,train,50,fpb:2fa0f7ffb876d8a7
fpb:2fb23fd8a60b1a95,train,75,fpb:2fb23fd8a60b1a95
fpb:2fb78c74d19a808c,train,all,fpb:2fb78c74d19a808c
fpb:2fbb11bcf3705ce7,train,all,fpb:2fbb11bcf3705ce7
fpb:2fdb344b71da67d5,test,75,fpb:2fdb344b71da67d5
fpb:2fdfe818e5289ded,test,all,fpb:2fdfe818e5289ded
fpb:3011909874ddc049,train,50,fpb:3011909874ddc049
fpb:302b0e8bd04f6f9f,train,66,fpb:302b0e8bd04f6f9f
fpb:303584a738a01e9f,train,66,fpb:303584a738a01e9f
fpb:3049bcb4ad02f5a6,test,all,fpb:3049bcb4ad02f5a6
fpb:304f1478053820ee,train,all,fpb:304f1478053820ee
fpb:3053135f6a09a581,train,all,fpb:3053135f6a09a581
fpb:3068bfb4b198a1f8,train,75,fpb:3068bfb4b198a1f8
fpb:308e6d1775d1efe8,train,all,fpb:308e6d1775d1efe8
fpb:3091a215836d3ca9,train,all,fpb:3091a215836d3ca9
fpb:30950c3801fe5e9b,dev,all,fpb:30950c3801fe5e9b
fpb:30e2c287e3b52d00,test,all,fpb:30e2c287e3b52d00
fpb:30ef0a3b696314e5,dev,all,fpb:30ef0a3b696314e5
fpb:31015aeea1b6cc38,train,66,fpb:31015aeea1b6cc38
fpb:31144c3bbe6050a5,train,75,fpb:31144c3bbe6050a5
fpb:311a6ccd1f00e9f7,train,all,fpb:311a6ccd1f00e9f7
fpb:3123b96d9c09c288,train,75,fpb:3123b96d9c09c288
fpb:312b31b4743df0be,train,all,fpb:312b31b4743df0be
fpb:31411842beb0d1cb,train,75,fpb:31411842beb0d1cb
fpb:3149165563a06656,test,75,fpb:3149165563a06656
fpb:314bcc10ebf6514b,train,50,fpb:314bcc10ebf6514b
fpb:315dee1897120861,test,66,fpb:315dee1897120861
fpb:31607b6b5b28805a,train,75,fpb:31607b6b5b28805a
fpb:316c1f1c6d346990,train,all,fpb:316c1f1c6d346990
fpb:317541f5c39660be,dev,50,fpb:317541f5c39660be
fpb:317ac8a5bf05158c,train,all,fpb:317ac8a5bf05158c
fpb:318668ef20b17ed8,train,50,fpb:318668ef20b17ed8
fpb:31b4b0723edd0c2c,train,all,fpb:31b4b0723edd0c2c
fpb:31e3f7fc2fc59eb3,test,66,fpb:31e3f7fc2fc59eb3
fpb:31e9a398e74ef9b2,test,75,fpb:31e9a398e74ef9b2
fpb:31eb287cb41946c5,test,75,fpb:31eb287cb41946c5
fpb:3203e8689d714fd3,train,66,fpb:3203e8689d714fd3
fpb:320dff2d44c0ea46,train,all,fpb:320dff2d44c0ea46
fpb:32113a63f0e0ca21,test,all,fpb:32113a63f0e0ca21
fpb:32146b76d3bc4383,test,66,fpb:32146b76d3bc4383
fpb:322a4ddd2075c8f8,train,66,fpb:322a4ddd2075c8f8
fpb:323a68642504ec10,train,all,fpb:323a68642504ec10
fpb:323eea9cf9c19911,test,75,fpb:323eea9cf9c19911
fpb:3260d504d18cc71e,train,75,fpb:3260d504d18cc71e
fpb:32665a501945d3cc,train,all,fpb:32665a501945d3cc
fpb:326daecd3dd77abe,train,all,fpb:326daecd3dd77abe
fpb:327555a2e8932cda,train,all,fpb:327555a2e8932cda
fpb:32807abd780e0f4d,train,50,fpb:32807abd780e0f4d
fpb:32d9aaad3252e7a1,dev,50,fpb:32d9aaad3252e7a1
fpb:32ee8402a1b68a0c,train,all,fpb:32ee8402a1b68a0c
fpb:32eec32f9c32f8f3,train,66,fpb:32eec32f9c32f8f3
fpb:32f77ce4e8f818d7,train,all,fpb:32f77ce4e8f818d7
fpb:335e4ae908ebb1d9,train,all,fpb:335e4ae908ebb1d9
fpb:3393c50b5157e354,train,50,fpb:3393c50b5157e354
fpb:33d940a7bdc7bc00,train,66,fpb:33d940a7bdc7bc00
fpb:33dfe913f5f73e2d,train,all,fpb:33dfe913f5f73e2d
fpb:33f24eae6ff6eb9d,test,66,fpb:33f24eae6ff6eb9d
fpb:33fc4831cd401291,test,all,fpb:33fc4831cd401291
fpb:340cb7ee707c490f,train,66,fpb:340cb7ee707c490f
fpb:340e2ebcc2113911,train,all,fpb:340e2ebcc2113911
fpb:34590020c96657f7,train,all,fpb:34590020c96657f7
fpb:345ae456770ec622,train,all,fpb:345ae456770ec622
fpb:3467dafb76a1864b,train,all,fpb:3467dafb76a1864b
fpb:346f4fe74b22e118,train,75,fpb:346f4fe74b22e118
fpb:347334960b85675a,train,75,fpb:347334960b85675a
fpb:347e11d1a228c08b,train,all,fpb:347e11d1a228c08b
fpb:3498f3db9e31318d,train,50,fpb:3498f3db9e31318d
fpb:349c404c8cebaabf,train,66,fpb:349c404c8cebaabf
fpb:34a8b98241681d88,train,all,fpb:34a8b98241681d88
fpb:34b2e9f8637c4102,dev,all,fpb:34b2e9f8637c4102
fpb:34b420d33a57f78c,train,66,fpb:34b420d33a57f78c
fpb:34c157e20d4461dd,test,75,fpb:34c157e20d4461dd
fpb:34cd29ebfe9bc028,train,75,fpb:34cd29ebfe9bc028
fpb:34d97e1a55fd8e02,train,all,fpb:34d97e1a55fd8e02
fpb:34dba48a38c8d70f,dev,66,fpb:34dba48a38c8d70f
fpb:34eb0d19e005b82a,test,all,fpb:34eb0d19e005b82a
fpb:350266a49eea060a,test,50,fpb:350266a49eea060a
fpb:350fac19db0d22dc,train,66,fpb:350fac19db0d22dc
fpb:3511668d0924bb27,train,all,fpb:3511668d0924bb27
fpb:351cbd82855c8e48,train,75,fpb:351cbd82855c8e48
fpb:352c14e11400900e,train,all,fpb:352c14e11400900e
fpb:3540f4fdef5548db,test,75,fpb:3540f4fdef5548db
fpb:35471dde714beddd,dev,all,fpb:35471dde714beddd
fpb:3550ffab283822be,train,all,fpb:3550ffab283822be
fpb:355673cdc7a928bb,train,75,fpb:355673cdc7a928bb
fpb:355f852b7339fccb,dev,all,fpb:355f852b7339fccb
fpb:3561d255391302da,train,50,fpb:3561d255391302da
fpb:3569edb45422208e,train,all,fpb:3569edb45422208e
fpb:356d316e238e6ec2,train,all,fpb:356d316e238e6ec2
fpb:35727cb695de2277,test,75,fpb:35727cb695de2277
fpb:357fadf696f5c923,train,75,fpb:357fadf696f5c923
fpb:358998778a907311,train,75,fpb:358998778a907311
fpb:358a2c92c04af3a5,train,66,fpb:358a2c92c04af3a5
fpb:35ca593f3d4f752c,train,75,fpb:35ca593f3d4f752c
fpb:35cd71d7123d6d0c,train,66,fpb:35cd71d7123d6d0c
fpb:35d2607bafaf6a96,test,all,fpb:35d2607bafaf6a96
fpb:35d8e8b8a5b1946e,test,75,fpb:35d8e8b8a5b1946e
fpb:35e308a9b2380bfb,train,all,fpb:35e308a9b2380bfb
fpb:3602e66662bae391,test,66,fpb:3602e66662bae391
fpb:36268ce2d838b2b4,train,all,fpb:36268ce2d838b2b4
fpb:36354c3a9f7fbf2a,train,75,fpb:36354c3a9f7fbf2a
fpb:363dd22a1fb5375c,train,all,fpb:363dd22a1fb5375c
fpb:366139f5d27f767a,train,50,fpb:366139f5d27f767a
fpb:36644efa455af773,train,all,fpb:36644efa455af773
fpb:367489e573253595,train,all,fpb:367489e573253595
fpb:3674944b946272b8,test,75,fpb:3674944b946272b8
fpb:367c9cd92d923653,train,50,fpb:367c9cd92d923653
fpb:367fd886608b5b13,test,all,fpb:367fd886608b5b13
fpb:3684168e3e4fde0c,train,75,fpb:3684168e3e4fde0c
fpb:36855127b2b785a9,train,all,fpb:36855127b2b785a9
fpb:36afb8ecb0e3a0a8,test,all,fpb:36afb8ecb0e3a0a8
fpb:36b7b55f16bbe0b4,train,75,fpb:36b7b55f16bbe0b4
fpb:36d4f61f301b6870,train,all,fpb:36d4f61f301b6870
fpb:36d592939d7b2973,train,all,fpb:36d592939d7b2973
fpb:36dbf0a48ac817b3,train,66,fpb:36dbf0a48ac817b3
fpb:36e8b0c399ec20e1,train,all,fpb:36e8b0c399ec20e1
fpb:36f0b0fbb339461c,train,66,fpb:36f0b0fbb339461c
fpb:36feb3e410520c96,train,all,fpb:36feb3e410520c96
fpb:36fed23b032e8807,dev,all,fpb:36fed23b032e8807
fpb:372bb33c0d2f35f9,test,50,fpb:372bb33c0d2f35f9
fpb:3730c5b7679b79c5,dev,75,fpb:3730c5b7679b79c5
fpb:3734a46b86ec618e,train,75,fpb:3734a46b86ec618e
fpb:3741fe63a76b6592,train,all,fpb:3741fe63a76b6592
fpb:374a6f776da952f7,train,all,fpb:374a6f776da952f7
fpb:376987448d23ec12,train,all,fpb:376987448d23ec12
fpb:376cd24344ca3e5e,train,all,fpb:376cd24344ca3e5e
fpb:378e562f8e1fed26,train,all,fpb:378e562f8e1fed26
fpb:379e48a8fc7abc8d,train,all,fpb:379e48a8fc7abc8d
fpb:37e338dde0d0384f,test,66,fpb:37e338dde0d0384f
fpb:37f328282157b3bf,train,75,fpb:37f328282157b3bf
fpb:37f7f1d712926f58,dev,50,fpb:37f7f1d712926f58
fpb:380bf2a1b604afa2,test,all,fpb:380bf2a1b604afa2
fpb:38156be3c8900380,train,all,fpb:38156be3c8900380
fpb:3815f24acefd49a1,train,75,fpb:3815f24acefd49a1
fpb:38285cb31189c4eb,train,all,fpb:38285cb31189c4eb
fpb:383726dcb4c19661,test,50,fpb:383726dcb4c19661
fpb:3860bf8b49ce4cd6,train,50,fpb:3860bf8b49ce4cd6
fpb:386f510cab81a099,train,75,fpb:386f510cab81a099
fpb:387e6723eb0ef926,train,all,fpb:387e6723eb0ef926
fpb:38b7ea9b77dd15ce,test,66,fpb:38b7ea9b77dd15ce
fpb:38b96d3c9ece0cd3,train,66,fpb:38b96d3c9ece0cd3
fpb:38bfa7bee766adcc,train,all,fpb:38bfa7bee766adcc
fpb:38c4c5a4f3cb0f8d,train,66,fpb:38c4c5a4f3cb0f8d
fpb:38c93326495ef9aa,test,75,fpb:38c93326495ef9aa
fpb:38ecfd0b555072b5,test,66,fpb:38ecfd0b555072b5
fpb:3927cff866638277,train,50,fpb:3927cff866638277
fpb:392b6f756fad2da6,test,all,fpb:392b6f756fad2da6
fpb:392f8c3b96297544,train,all,fpb:392f8c3b96297544
fpb:393493c20895857b,dev,75,fpb:393493c20895857b
fpb:393bebee0eb35e13,train,75,fpb:393bebee0eb35e13
fpb:393d0feb563e06c5,train,all,fpb:393d0feb563e06c5
fpb:393fe73d191f3ed2,test,50,fpb:393fe73d191f3ed2
fpb:395643ae97a787d5,train,50,fpb:395643ae97a787d5
fpb:3966da36e29051dd,test,75,fpb:3966da36e29051dd
fpb:3973b7c6994941ec,train,75,fpb:3973b7c6994941ec
fpb:3982f4b3afbb75ad,train,66,fpb:3982f4b3afbb75ad
fpb:39a0f1b21dedcf3b,train,all,fpb:39a0f1b21dedcf3b
fpb:39b96bf711b041e1,train,all,fpb:39b96bf711b041e1
fpb:39bb83bfd8c4c6bf,test,50,fpb:39bb83bfd8c4c6bf
fpb:39bcebe16a3ce43e,train,75,fpb:39bcebe16a3ce43e
fpb:39c99ea190e7c4ea,train,75,fpb:39c99ea190e7c4ea
fpb:39ceeb9ad4d02431,train,all,fpb:39ceeb9ad4d02431
fpb:39f6dfd32e843761,train,75,fpb:39f6dfd32e843761
fpb:3a24ccc8be634b84,test,all,fpb:3a24ccc8be634b84
fpb:3a2511041370bc37,train,66,fpb:3a2511041370bc37
fpb:3a34dc6830f48acc,train,all,fpb:3a34dc6830f48acc
fpb:3a3f6424d81558f2,test,75,fpb:3a3f6424d81558f2
fpb:3a4c52a399e2d7c2,dev,all,fpb:3a4c52a399e2d7c2
fpb:3a57f4159c9bdd32,train,75,fpb:3a57f4159c9bdd32
fpb:3a6f1c69d113fa46,train,75,fpb:3a6f1c69d113fa46
fpb:3a85cae26fe2d97f,train,66,fpb:3a85cae26fe2d97f
fpb:3a8bab5352953115,train,all,fpb:3a8bab5352953115
fpb:3a978ba93ecd09ea,train,75,fpb:3a978ba93ecd09ea
fpb:3aa312d41884c695,dev,all,fpb:3aa312d41884c695
fpb:3aa3b8c3c9e89159,test,all,fpb:3aa3b8c3c9e89159
fpb:3aa44285f263e069,train,all,fpb:3aa44285f263e069
fpb:3aa4ed301cc618a0,train,all,fpb:3aa4ed301cc618a0
fpb:3ab1e686d4400086,train,all,fpb:3ab1e686d4400086
fpb:3abaad238ed2d26a,dev,75,fpb:3abaad238ed2d26a
fpb:3ac686c0805da33a,train,75,fpb:3ac686c0805da33a
fpb:3ad8b573900b8b1a,train,all,fpb:3ad8b573900b8b1a
fpb:3b10284158620c36,test,75,fpb:3b10284158620c36
fpb:3b16ed83216ba8e8,train,all,fpb:3b16ed83216ba8e8
fpb:3b22a92f77f70a04,train,all,fpb:3b22a92f77f70a04
fpb:3b2405aa03fe4edd,dev,66,fpb:3b2405aa03fe4edd
fpb:3b3c59a93e585bfc,train,75,fpb:3b3c59a93e585bfc
fpb:3b4b94d47ee36eb2,test,75,fpb:3b4b94d47ee36eb2
fpb:3b51e445742b801e,train,all,fpb:3b51e445742b801e
fpb:3b71a914fdd5b03f,train,50,fpb:3b71a914fdd5b03f
fpb:3b995dd09568aa9c,train,all,fpb:3b995dd09568aa9c
fpb:3ba0b4c90da477d2,train,all,fpb:3ba0b4c90da477d2
fpb:3ba4ff51feb690b4,test,66,fpb:3ba4ff51feb690b4
fpb:3bb5128876f2c2fd,dev,75,fpb:3bb5128876f2c2fd
fpb:3bbd6d44566a84ef,dev,75,fpb:3bbd6d44566a84ef
fpb:3bc4e64e70c5358c,train,50,fpb:3bc4e64e70c5358c
fpb:3bc8b792d6a726aa,train,66,fpb:3bc8b792d6a726aa
fpb:3bd630dae09eaaa8,train,all,fpb:3bd630dae09eaaa8
fpb:3bd7d2c0d8d5c108,dev,50,fpb:3bd7d2c0d8d5c108
fpb:3bef321909a05190,test,all,fpb:3bef321909a05190
fpb:3bfe35ffd3909d5b,test,75,fpb:3bfe35ffd3909d5b
fpb:3c06fb9a95879377,train,all,fpb:3c06fb9a95879377
fpb:3c0e0d1105c42e2b,train,all,fpb:3c0e0d1105c42e2b
fpb:3c0f14ffa7f422c3,train,all,fpb:3c0f14ffa7f422c3
fpb:3c11d16ccfaf6b3d,test,66,fpb:3c11d16ccfaf6b3d
fpb:3c18d06806a8493c,train,75,fpb:3c18d06806a8493c
fpb:3c1b6024199bbc87,test,all,fpb:3c1b6024199bbc87
fpb:3c1b7ba67d7d84a3,train,all,fpb:3c1b7ba67d7d84a3
fpb:3c3ce503f12f8d03,test,all,fpb:3c3ce503f12f8d03
fpb:3c4058d62174a41e,train,50,fpb:3c4058d62174a41e
fpb:3c41758fd1cfd0ec,train,75,fpb:3c41758fd1cfd0ec
fpb:3c4468a1b040b56a,test,all,fpb:3c4468a1b040b56a
fpb:3c4789b41c9208c6,train,66,fpb:3c4789b41c9208c6
fpb:3c607ee5b9e97c54,dev,66,fpb:3c607ee5b9e97c54
fpb:3c685835a9c2dd6b,train,75,fpb:3c685835a9c2dd6b
fpb:3c7c16ec4fbd8c66,train,all,fpb:3c7c16ec4fbd8c66
fpb:3c7c6399d6aef8f8,train,all,fpb:3c7c6399d6aef8f8
fpb:3c8768b0a482dcf4,train,75,fpb:3c8768b0a482dcf4
fpb:3c89a5a664c1dfa5,train,all,fpb:3c89a5a664c1dfa5
fpb:3cab6f0b2e8aa95e,train,all,fpb:3cab6f0b2e8aa95e
fpb:3cd3bcce107f342e,train,all,fpb:3cd3bcce107f342e
fpb:3cfa64898ec64f75,dev,66,fpb:3cfa64898ec64f75
fpb:3cfd69e8393fc02f,train,all,fpb:3cfd69e8393fc02f
fpb:3d1d29e4158147e0,train,all,fpb:3d1d29e4158147e0
fpb:3d2f4d0e15af7f95,train,66,fpb:3d2f4d0e15af7f95
fpb:3d3aae0dcbacc07b,train,66,fpb:3d3aae0dcbacc07b
fpb:3d456da3c355141f,test,75,fpb:3d456da3c355141f
fpb:3d65edb75c2fc29a,train,all,fpb:3d65edb75c2fc29a
fpb:3d7b6b7a11e83218,train,66,fpb:3d7b6b7a11e83218
fpb:3d842982cd89bb54,test,all,fpb:3d842982cd89bb54
fpb:3d85b6c247b96cf8,train,50,fpb:3d85b6c247b96cf8
fpb:3d96150764807765,train,75,fpb:3d96150764807765
fpb:3d9d0ce33ebb464d,train,75,fpb:3d9d0ce33ebb464d
fpb:3d9d3d2b033156be,train,50,fpb:3d9d3d2b033156be
fpb:3dac9100f0bd931c,train,all,fpb:3dac9100f0bd931c
fpb:3dbb798c849dbd03,train,50,fpb:3dbb798c849dbd03
fpb:3dcf1ecd7a34153e,train,all,fpb:3dcf1ecd7a34153e
fpb:3de15930d0112b83,train,75,fpb:3de15930d0112b83
fpb:3df574d359b9c58d,train,all,fpb:3df574d359b9c58d
fpb:3dff943ce4996675,train,50,fpb:3dff943ce4996675
fpb:3e018f1dc38366f6,train,all,fpb:3e018f1dc38366f6
fpb:3e01fd969403a64e,train,50,fpb:3e01fd969403a64e
fpb:3e051881e5756009,train,50,fpb:3e051881e5756009
fpb:3e335e221c50f21b,train,75,fpb:3e335e221c50f21b
fpb:3e352225577bf631,train,all,fpb:3e352225577bf631
fpb:3e5d174fc36516c5,train,50,fpb:3e5d174fc36516c5
fpb:3e64041cd53edafb,test,all,fpb:3e64041cd53edafb
fpb:3e77dadf48512b3e,train,75,fpb:3e77dadf48512b3e
fpb:3e7ec33fabd716a5,train,75,fpb:3e7ec33fabd716a5
fpb:3e80dd7bb069329a,train,75,fpb:3e80dd7bb069329a
fpb:3e8abbec4a0c7f2f,train,75,fpb:3e8abbec4a0c7f2f
fpb:3e8ba87efa459f72,train,75,fpb:3e8ba87efa459f72
fpb:3e8c1f101f5d9262,train,75,fpb:3e8c1f101f5d9262
fpb:3ea191569ef82236,train,66,fpb:3ea191569ef82236
fpb:3ea323feb2bed5a9,dev,all,fpb:3ea323feb2bed5a9
fpb:3ea840db36b8c758,train,all,fpb:3ea840db36b8c758
fpb:3ec62e09e9be49ba,train,all,fpb:3ec62e09e9be49ba
fpb:3ed01fbcaeef0588,train,66,fpb:3ed01fbcaeef0588
fpb:3eda545b746f760c,train,all,fpb:3eda545b746f760c
fpb:3ee8d7108fe23869,train,75,fpb:3ee8d7108fe23869
fpb:3f0a6373bc3d6ccc,train,50,fpb:3f0a6373bc3d6ccc
fpb:3f0b1b6c0b3951d2,dev,75,fpb:3f0b1b6c0b3951d2
fpb:3f1afbde236ed5a6,train,75,fpb:3f1afbde236ed5a6
fpb:3f24cda1efb31e26,train,75,fpb:3f24cda1efb31e26
fpb:3f2b315c76a1d678,train,75,fpb:3f2b315c76a1d678
fpb:3f3525985ede20ff,train,66,fpb:3f3525985ede20ff
fpb:3f528f5e55898111,train,66,fpb:3f528f5e55898111
fpb:3f837fa963c5f215,train,all,fpb:3f837fa963c5f215
fpb:3f9b457e5b9d9c02,train,50,fpb:3f9b457e5b9d9c02
fpb:3fa1cbe5dfbfb6f8,train,50,fpb:3fa1cbe5dfbfb6f8
fpb:3fa22880263d48dc,train,66,fpb:3fa22880263d48dc
fpb:3fb28580676a58ab,test,75,fpb:3fb28580676a58ab
fpb:3fb7dcb6afa3b490,test,66,fpb:3fb7dcb6afa3b490
fpb:3fbe7548ef3a68f6,train,50,fpb:3fbe7548ef3a68f6
fpb:3fc30d00fa3ac2fc,train,75,fpb:3fc30d00fa3ac2fc
fpb:3fcbbaa1ec72e49c,train,all,fpb:3fcbbaa1ec72e49c
fpb:3fdaff5a73eb8592,test,all,fpb:3fdaff5a73eb8592
fpb:3fea4be19e3cb301,train,50,fpb:3fea4be19e3cb301
fpb:3ff3315102c950b6,train,all,fpb:3ff3315102c950b6
fpb:40038e58cd88a404,train,all,fpb:40038e58cd88a404
fpb:401347d5f4de5b38,train,all,fpb:401347d5f4de5b38
fpb:4014ca4db391ffc3,train,all,fpb:4014ca4db391ffc3
fpb:401a9b009e96b27c,train,75,fpb:401a9b009e96b27c
fpb:404982629a31d548,train,66,fpb:404982629a31d548
fpb:404ef083320efe2b,train,66,fpb:404ef083320efe2b
fpb:4065fb402015a319,test,all,fpb:4065fb402015a319
fpb:406db019c9d10208,dev,all,fpb:406db019c9d10208
fpb:406eaab98b82d141,train,50,fpb:406eaab98b82d141
fpb:4081f9cc049b06a2,test,all,fpb:4081f9cc049b06a2
fpb:408475fb3b33848c,test,66,fpb:408475fb3b33848c
fpb:40898bf5eecfcd66,train,all,fpb:40898bf5eecfcd66
fpb:4092c993d0cbf1c8,train,50,fpb:4092c993d0cbf1c8
fpb:409cb3df8c4266c0,test,all,fpb:409cb3df8c4266c0
fpb:40ad0301487538ff,train,all,fpb:40ad0301487538ff
fpb:40ba03b00da101c7,test,all,fpb:40ba03b00da101c7
fpb:40c3415f79b4fcf5,train,75,fpb:40c3415f79b4fcf5
fpb:40c7457b8d23e2e8,train,75,fpb:40c7457b8d23e2e8
fpb:40de6b2fe2c97682,dev,66,fpb:40de6b2fe2c97682
fpb:40e081889bbf9653,test,all,fpb:40e081889bbf9653
fpb:40ed793047f262f6,test,50,fpb:40ed793047f262f6
fpb:40f6480be22e2625,train,all,fpb:40f6480be22e2625
fpb:410acf6ea3ca26a3,train,50,fpb:410acf6ea3ca26a3
fpb:41119c2c1aa16f13,test,50,fpb:41119c2c1aa16f13
fpb:41225304f9ece4b9,train,all,fpb:41225304f9ece4b9
fpb:412a115e73981c01,train,66,fpb:412a115e73981c01
fpb:413186cd9e07a2fb,test,66,fpb:413186cd9e07a2fb
fpb:4132c667c89ec181,test,all,fpb:4132c667c89ec181
fpb:4135750ca0d7c53e,test,all,fpb:4135750ca0d7c53e
fpb:41366f653cd4e535,train,75,fpb:41366f653cd4e535
fpb:4143815276261f80,train,50,fpb:4143815276261f80
fpb:4158454e6671a8ff,train,50,fpb:4158454e6671a8ff
fpb:415bc85d813c10b4,train,75,fpb:415bc85d813c10b4
fpb:4194928543cfcf0c,train,75,fpb:4194928543cfcf0c
fpb:41974a1fcab11751,train,75,fpb:41974a1fcab11751
fpb:41a15ac51bd11b77,train,all,fpb:41a15ac51bd11b77
fpb:41bcf9030c011299,test,all,fpb:41bcf9030c011299
fpb:41e2d05b70246267,train,50,fpb:41e2d05b70246267
fpb:41fa5cd9cfd9f356,train,all,fpb:41fa5cd9cfd9f356
fpb:42087582bd050e1d,test,50,fpb:42087582bd050e1d
fpb:421a2b9b719d26c4,dev,all,fpb:421a2b9b719d26c4
fpb:422783b99618eea4,train,all,fpb:422783b99618eea4
fpb:4240337236dba64d,train,all,fpb:4240337236dba64d
fpb:4247bb907cfdd65f,train,50,fpb:4247bb907cfdd65f
fpb:424fb36bf00ba670,dev,66,fpb:424fb36bf00ba670
fpb:425d8c6125fa469e,train,75,fpb:425d8c6125fa469e
fpb:4260eaed92e5c42a,dev,75,fpb:4260eaed92e5c42a
fpb:4265c2d4263fbdb9,train,all,fpb:4265c2d4263fbdb9
fpb:427e9350c9c43bb3,test,75,fpb:427e9350c9c43bb3
fpb:427ea7b512a0898d,train,66,fpb:427ea7b512a0898d
fpb:4281be4732d5760d,train,all,fpb:4281be4732d5760d
fpb:4288eace44b859f5,train,66,fpb:4288eace44b859f5
fpb:429a20b7d593d41d,train,66,fpb:429a20b7d593d41d
fpb:429b665976d21ed5,train,all,fpb:429b665976d21ed5
fpb:42a1381971da9e59,test,75,fpb:42a1381971da9e59
fpb:42aeaffd59ce8b23,test,all,fpb:42aeaffd59ce8b23
fpb:42c1f62cb90650ca,train,all,fpb:42c1f62cb90650ca
fpb:42c2494138b3a841,train,all,fpb:42c2494138b3a841
fpb:42f6fc7e24189dbb,train,75,fpb:42f6fc7e24189dbb
fpb:42fefe99be792738,dev,66,fpb:42fefe99be792738
fpb:4302a6864aff443e,train,66,fpb:4302a6864aff443e
fpb:430f30cf54dba810,train,all,fpb:430f30cf54dba810
fpb:430f8681476c252e,train,all,fpb:430f8681476c252e
fpb:431735413574161e,train,75,fpb:431735413574161e
fpb:432e8d915ffbf447,train,66,fpb:432e8d915ffbf447
fpb:4339b13c90318bde,dev,all,fpb:4339b13c90318bde
fpb:43488ff7b9ad51b4,train,66,fpb:43488ff7b9ad51b4
fpb:4349e39740afa46d,train,all,fpb:4349e39740afa46d
fpb:4356ebff6356a7fa,train,all,fpb:4356ebff6356a7fa
fpb:43582045bead1f7f,dev,66,fpb:43582045bead1f7f
fpb:435845aeb231ee30,train,75,fpb:435845aeb231ee30
fpb:436497bb3744353a,dev,all,fpb:436497bb3744353a
fpb:43659aed472706cd,test,all,fpb:43659aed472706cd
fpb:43668cd0581ac6e9,train,66,fpb:43668cd0581ac6e9
fpb:43730e4e46d05993,train,75,fpb:43730e4e46d05993
fpb:4373ad20c96aa5d5,test,all,fpb:4373ad20c96aa5d5
fpb:4382e025bbed2ce4,train,all,fpb:4382e025bbed2ce4
fpb:4399df3842b85351,test,66,fpb:4399df3842b85351
fpb:439a2cd98f1c9101,test,all,fpb:439a2cd98f1c9101
fpb:439cfd1c74ca7d98,test,all,fpb:439cfd1c74ca7d98
fpb:439f093d9b00e2c0,train,all,fpb:439f093d9b00e2c0
fpb:43a8ed54e1dd3159,train,all,fpb:43a8ed54e1dd3159
fpb:43a9cdb23835d661,train,all,fpb:43a9cdb23835d661
fpb:43ac080b90da05e7,train,all,fpb:43ac080b90da05e7
fpb:43bb05da18f800c3,test,all,fpb:43bb05da18f800c3
fpb:43db47c80518ebce,dev,75,fpb:43db47c80518ebce
fpb:43eb3618c92f6d57,train,75,fpb:43eb3618c92f6d57
fpb:43f9620d56dd1859,train,all,fpb:43f9620d56dd1859
fpb:43fb17d925e2e274,test,all,fpb:43fb17d925e2e274
fpb:440c8b106220b91e,test,all,fpb:440c8b106220b91e
fpb:440fde25ec33b5c3,train,all,fpb:440fde25ec33b5c3
fpb:4410eeaeb572ff2f,train,66,fpb:4410eeaeb572ff2f
fpb:4417c64d14b3c406,train,all,fpb:4417c64d14b3c406
fpb:441c3c98acd782ca,train,all,fpb:441c3c98acd782ca
fpb:445a7da1a088fa0a,test,all,fpb:445a7da1a088fa0a
fpb:445dec018db4983c,train,75,fpb:445dec018db4983c
fpb:447eabf2369ab70d,train,66,fpb:447eabf2369ab70d
fpb:4483bb3beda207cb,test,75,fpb:4483bb3beda207cb
fpb:448754ea18111401,train,all,fpb:448754ea18111401
fpb:4491a30eb5650d65,test,all,fpb:4491a30eb5650d65
fpb:44a29a0905ec42a1,train,all,fpb:44a29a0905ec42a1
fpb:44adbeafc1617d0a,test,50,fpb:44adbeafc1617d0a
fpb:44e19f1f127e6e31,train,75,fpb:44e19f1f127e6e31
fpb:44f919f4c4794db6,train,66,fpb:44f919f4c4794db6
fpb:44fda6f6404bb8b6,train,all,fpb:44fda6f6404bb8b6
fpb:45089c07f4ed9c81,dev,all,fpb:45089c07f4ed9c81
fpb:451580779f42238c,train,all,fpb:451580779f42238c
fpb:4517edb1860be951,train,66,fpb:4517edb1860be951
fpb:451dd42d37f132f0,test,all,fpb:451dd42d37f132f0
fpb:4542a1e5bdc4d038,dev,all,fpb:4542a1e5bdc4d038
fpb:4545a17ce0b59485,train,75,fpb:4545a17ce0b59485
fpb:454689d93de8f1c1,test,all,fpb:454689d93de8f1c1
